year,month,dist_traveled
2018,1,"3,215.0"
2018,2,"3,217.0"
2018,3,"3,220.0"
2018,4,"3,222.0"
2018,5,"3,225.0"
2018,6,"3,228.0"
2018,7,"3,230.0"
2018,8,"3,232.0"
2018,9,"3,234.0"
2018,10,"3,236.0"
2018,11,"3,238.0"
2018,12,"3,240.0"
2019,1,"3,244.0"
2019,2,"3,248.0"
2019,3,"3,249.0"
2019,4,"3,247.0"
2019,5,"3,253.0"
2019,6,"3,251.0"
2019,7,"3,252.0"
2019,8,"3,260.0"
2019,9,"3,266.0"
2019,10,"3,269.0"
2019,11,"3,269.0"
2019,12,"3,261.0"
2020,1,"3,273.0"
2020,2,"3,284.0"
2020,3,"3,239.0"
2020,4,"3,134.0"
2020,5,"3,065.0"
2020,6,"3,034.0"
2020,7,"3,008.0"
2020,8,"2,980.0"
2020,9,"2,965.0"
2020,10,"2,948.0"
2020,11,"2,926.0"
2020,12,"2,905.0"
2021,1,"2,869.0"
2021,2,"2,833.0"
2021,3,"2,868.0"
2021,4,"2,952.0"
2021,5,"3,008.0"
2021,6,"3,037.0"
2021,7,"3,059.0"
2021,8,"3,074.0"
2021,9,"3,086.0"
2021,10,"3,097.0"
2021,11,"3,119.0"
2021,12,"3,139.0"
2022,1,"3,148.0"
2022,2,"3,170.0"
2022,3,"3,177.0"
2022,4,"3,181.0"
2022,5,"3,184.0"
2022,6,"3,180.0"
2022,7,"3,171.0"
2022,8,"3,173.0"
2022,9,"3,176.0"
2022,10,"3,176.0"
2022,11,"3,173.0"
2022,12,"3,168.0"
